Horodateur,origin,city,country,way_in,way_out,green.grant,lon.city,lat.city,destination,destinationlon,destinationlat,distance_km,lon.country,lat.country,distance.country,inkg.km,outkg.km,inkg,outkg,kgtotal
04/12/2019 11:12:23,Leipzig (Germany),Leipzig ,Germany,Train,Train,1,12.3730747,51.3396955,Paris (France),2.3619747,48.8354373,766.6783136269333,10.451526,51.165691,633.8572778308848,0.00506,0.00506,3.879392266952283,3.879392266952283,7.758784533904566
04/12/2019 11:13:22,Lyon (France),Lyon ,France,Train,Car,NA,4.835659,45.764043,Paris (France),2.3619747,48.8354373,389.528987433418,2.213749,46.227638,290.51241838385585,0.00506,0.259,1.9710166764130954,100.88800774525527,102.85902442166837
04/12/2019 11:14:52,Xanthi (Greece),Xanthi ,Greece,Plane,Plane,NA,24.8877024,41.1362513,Paris (France),2.3619747,48.8354373,1959.7867705759293,21.824312,39.074208,1891.9957566703085,0.25,0.25,489.9466926439823,489.9466926439823,979.8933852879646
04/12/2019 11:16:25,Montrouge (France),Montrouge ,France,Metro or RER,Metro or RER,NA,2.317384,48.816363,Paris (France),2.3619747,48.8354373,3.8971657188998683,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.02221384459772925,0.02221384459772925,0.0444276891954585
04/12/2019 11:16:37,Madrid (Spain),Madrid ,Spain,Plane,Plane,NA,-3.7037902,40.4167754,Paris (France),2.3619747,48.8354373,1052.369140851437,-3.74922,40.46366700000001,1049.2841188623677,0.25,0.25,263.0922852128592,263.0922852128592,526.1845704257184
04/12/2019 11:24:17,Besançon (France),Besançon ,France,Train,Train,NA,6.024053899999999,47.237829,Paris (France),2.3619747,48.8354373,325.41435860384206,2.213749,46.227638,290.51241838385585,0.00506,0.00506,1.646596654535441,1.646596654535441,3.293193309070882
04/12/2019 11:35:22,Milan (Italy),Milan ,Italy,Plane,Plane,NA,9.189982,45.464203500000004,Paris (France),2.3619747,48.8354373,638.3836000791583,12.56738,41.87194,1110.9410486106967,0.25,0.25,159.59590001978958,159.59590001978958,319.19180003957916
04/12/2019 11:37:16,Munich (Germany),Munich ,Germany,Train,Train,NA,11.5819805,48.1351253,Paris (France),2.3619747,48.8354373,684.3110882699347,10.451526,51.165691,633.8572778308848,0.00506,0.00506,3.4626141066458693,3.4626141066458693,6.925228213291739
04/12/2019 12:22:45,Marseille (France),Marseille ,France,Train,Train,NA,5.36978,43.296482,Paris (France),2.3619747,48.8354373,658.7661079932121,2.213749,46.227638,290.51241838385585,0.00506,0.00506,3.3333565064456536,3.3333565064456536,6.666713012891307
04/12/2019 12:29:24,Salzburg (Austria),Salzburg ,Austria,Plane,Plane,NA,13.05501,47.80949,Paris (France),2.3619747,48.8354373,799.0160198676765,14.550072,47.516231,915.5698829664601,0.25,0.25,199.75400496691913,199.75400496691913,399.50800993383825
04/12/2019 13:35:11,Marseille (France),Marseille ,France,Train,Train,NA,5.36978,43.296482,Paris (France),2.3619747,48.8354373,658.7661079932121,2.213749,46.227638,290.51241838385585,0.00506,0.00506,3.3333565064456536,3.3333565064456536,6.666713012891307
04/12/2019 13:35:44,Frankfurt (Germany),Frankfurt ,Germany,Train,Train,NA,8.6821267,50.1109221,Paris (France),2.3619747,48.8354373,478.54070622389776,10.451526,51.165691,633.8572778308848,0.00506,0.00506,2.421415973492923,2.421415973492923,4.842831946985846
04/12/2019 13:36:16,Palermo (Italy),Palermo ,Italy,Plane,Plane,NA,13.3614868,38.11569,Paris (France),2.3619747,48.8354373,1484.5358788811532,12.56738,41.87194,1110.9410486106967,0.25,0.25,371.1339697202883,371.1339697202883,742.2679394405766
04/12/2019 13:37:16,Braga (Portugal),Braga ,Portugal,Plane,Plane,NA,-8.426506999999999,41.5454486,Paris (France),2.3619747,48.8354373,1170.4510035362173,-8.224454,39.39987199999999,1346.0569230855483,0.25,0.25,292.6127508840543,292.6127508840543,585.2255017681086
04/12/2019 13:37:20,Marseille (France),Marseille ,France,Plane,Plane,NA,5.36978,43.296482,Paris (France),2.3619747,48.8354373,658.7661079932121,2.213749,46.227638,290.51241838385585,0.25,0.25,164.69152699830303,164.69152699830303,329.38305399660607
04/12/2019 13:37:54,Paris (France),Paris ,France,Metro or RER,Metro or RER,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.01404064182949679,0.01404064182949679,0.02808128365899358
04/12/2019 13:38:47,Paris (France),Paris ,France,Metro or RER,Metro or RER,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.01404064182949679,0.01404064182949679,0.02808128365899358
04/12/2019 14:52:29,Bures-sur-Yvette (France),Bures-sur-Yvette ,France,Metro or RER,Metro or RER,NA,2.163977,48.696893,Paris (France),2.3619747,48.8354373,21.187739295057206,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.12077011398182608,0.12077011398182608,0.24154022796365215
04/12/2019 14:54:37,Lyon (France),Lyon ,France,Train,Train,NA,4.835659,45.764043,Paris (France),2.3619747,48.8354373,389.528987433418,2.213749,46.227638,290.51241838385585,0.00506,0.00506,1.9710166764130954,1.9710166764130954,3.942033352826191
04/12/2019 16:30:13,Brighton (UK),Brighton ,UK,Train,Train,1,-0.137163,50.82253000000001,Paris (France),2.3619747,48.8354373,284.80992121090105,-3.435973,55.378051,828.5497420506365,0.00506,0.00506,1.4411382013271594,1.4411382013271594,2.882276402654319
04/12/2019 16:35:58,Lucknow (India),Lucknow ,India,Plane,Plane,NA,80.94616599999999,26.8466937,Paris (France),2.3619747,48.8354373,6997.179553288657,78.96288,20.593684,7341.187516655178,0.25,0.25,1749.2948883221643,1749.2948883221643,3498.5897766443286
04/12/2019 17:18:48,Braga (Portugal),Braga ,Portugal,Plane,Plane,NA,-8.426506999999999,41.5454486,Paris (France),2.3619747,48.8354373,1170.4510035362173,-8.224454,39.39987199999999,1346.0569230855483,0.25,0.25,292.6127508840543,292.6127508840543,585.2255017681086
04/12/2019 17:34:05,Singapore (Singapore),Singapore ,Singapore,Plane,Plane,NA,103.819836,1.352083,Paris (France),2.3619747,48.8354373,10740.732742816312,103.819836,1.352083,10740.732742816312,0.25,0.25,2685.183185704078,2685.183185704078,5370.366371408156
04/12/2019 17:43:38,Lille (France),Lille ,France,Train,Car,NA,3.057256,50.62925,Paris (France),2.3619747,48.8354373,205.85495485640382,2.213749,46.227638,290.51241838385585,0.00506,0.259,1.0416260715734034,53.316433307808595,54.358059379382
04/12/2019 17:45:05,Paris (France),Paris ,France,Feet,Feet,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0,0,0,0,0
04/12/2019 17:48:28,Glasgow (UK),Glasgow ,UK,Plane,Plane,NA,-4.251806,55.864237,Paris (France),2.3619747,48.8354373,901.5514642413377,-3.435973,55.378051,828.5497420506365,0.25,0.25,225.38786606033443,225.38786606033443,450.77573212066886
04/12/2019 17:49:15,Lyon (France),Lyon ,France,Train,Intercity coach,NA,4.835659,45.764043,Paris (France),2.3619747,48.8354373,389.528987433418,2.213749,46.227638,290.51241838385585,0.00506,0.16,1.9710166764130954,62.32463798934688,64.29565466575998
04/12/2019 17:49:53,Paris (France),Paris ,France,Bike,Bike,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0,0,0,0,0
